"","DBA","BUILDING","STREET","ZIPCODE","PHONE","CUISINE.DESCRIPTION","GRADE","ADDRESS","lon","lat"
"1365","SHAKE SHACK","200","BROADWAY",10038,"6462300319","American",NA,"200, BROADWAY, New York, NY",-74.008988,40.7105205
"1366","MAISON KAYSER","326","BLEECKER ST",10014,"2126457900","French","A","326, BLEECKER ST, New York, NY",NA,NA
"1367","XE LUA RESTAURANT","86","MULBERRY ST",10013,"2125778887","Vietnamese/Cambodian/Malaysia",NA,"86, MULBERRY ST, New York, NY",NA,NA
"1368","JIN RAMEN","3183","BROADWAY",10027,"6465592862","Japanese",NA,"3183, BROADWAY, New York, NY",-73.9588495,40.8153944
"1369","TABLE D'HOTE","44","EAST   92 STREET",10128,"2123488125","American","A","44, EAST   92 STREET, New York, NY",NA,NA
"1370","CONG LY RESTAURANT","124","HESTER ST",10002,"2123431111","Vietnamese/Cambodian/Malaysia",NA,"124, HESTER ST, New York, NY",-73.9946948,40.7168935
"1371","SARAVANA BHAVAN","81","LEXINGTON AVENUE",10016,"2126847755","Indian","A","81, LEXINGTON AVENUE, New York, NY",-73.983071,40.7414198
"1372","E.J LUNCHEONETTE","1271","THIRD AVENUE",10021,"2124720600","American","A","1271, THIRD AVENUE, New York, NY",-73.9597299,40.770444
"1373","DOMINO'S","943","1ST AVE",10022,"2127596600","Pizza","A","943, 1ST AVE, New York, NY",-73.9655091,40.7551102
"1374","RINTINTIN","14","SPRING STREET",10012,"6466660114","Mediterranean",NA,"14, SPRING STREET, New York, NY",-73.9948822,40.7211879
"1375","THE HORNY RAM","951","2 AVENUE",10022,"2128322021","American","A","951, 2 AVENUE, New York, NY",-73.9685627,40.7552657
"1376","EUROPA CAFE","787","7 AVENUE",10019,"2125810152","Sandwiches/Salads/Mixed Buffet","A","787, 7 AVENUE, New York, NY",-73.981777,40.7616959
"1377","TANNER SMITH'S","204","W 55TH ST",10019,"9175172283","American","A","204, W 55TH ST, New York, NY",-73.9816714,40.764286
"1378","PHO THANH HOAI 1","73","MULBERRY ST",10013,"2122338988","Vietnamese/Cambodian/Malaysia","A","73, MULBERRY ST, New York, NY",-73.9993244,40.7162383
"1379","GRACIE'S ON 2ND","300","E 86TH ST",10028,"2128799425","American",NA,"300, E 86TH ST, New York, NY",-73.9515728,40.7776204
"1380","BENJAMIN STEAK HOUSE","52","EAST   41 STREET",10017,"2122979177","Steak","A","52, EAST   41 STREET, New York, NY",-73.9791194,40.7516438
"1381","PARIS BAGUETTE CAFE","2568","BROADWAY",10025,"2126780404","Bakery","A","2568, BROADWAY, New York, NY",NA,NA
"1382","CAFE SFA","611","5 AVENUE",10022,"2129404080","American","A","611, 5 AVENUE, New York, NY",-73.9769439,40.7580975
"1383","JUICY SPOT","33","PELL ST",10013,"6468700188","Ice Cream, Gelato, Yogurt, Ices","A","33, PELL ST, New York, NY",-73.9986098,40.7148363
"1384","CAFE HIMALAYA","78","EAST    1 STREET",10009,"2123580160","Asian","A","78, EAST    1 STREET, New York, NY",-73.9879173,40.7232411
"1385","AMICI II","165","MULBERRY STREET",10013,"2123343869","Italian",NA,"165, MULBERRY STREET, New York, NY",-73.997373,40.719862
"1386","99 CENTS MEGA PIZZA","1875","LEXINGTON AVE",10035,"2123690369","American","A","1875, LEXINGTON AVE, New York, NY",-73.9411311,40.7989046
"1387","BEL AMI","30","EAST   68 STREET",10065,"2127371313","French",NA,"30, EAST   68 STREET, New York, NY",-73.9670732,40.7689753
"1388","LOLITAS KITCHEN & BURGER HOUSE","1364","LEXINGTON AVE",10128,"2127225055","Mexican",NA,"1364, LEXINGTON AVE, New York, NY",-73.9537311,40.7823248
"1389","ZUM SCHNEIDER","107109","AVENUE C",10009,"2125981098","German","A","107109, AVENUE C, New York, NY",-73.9761186,40.7278553
"1390","SUMMERS","169","THOMPSON ST",10012,"9173883372","Caf̩/Coffee/Tea","A","169, THOMPSON ST, New York, NY",-74.0004606,40.7276854
"1391","SAPPHIRE LOUNGE","249","ELDRIDGE STREET",10002,"2127775153","American",NA,"249, ELDRIDGE STREET, New York, NY",NA,NA
"1392","CHARLIE BIRD","5","KING STREET",10012,"2122357133","American",NA,"5, KING STREET, New York, NY",-74.0028594,40.7277841
"1393","COLD STONE CREAMERY","241A","W 42ND ST",10036,"2123981882","Ice Cream, Gelato, Yogurt, Ices",NA,"241A, W 42ND ST, New York, NY",-73.9886248,40.7570673
"1394","HAPPY FAMILY","500","WEST   43 STREET",10036,"2126956035","Chinese","A","500, WEST   43 STREET, New York, NY",-73.9953977,40.760252
"1395","HEE KOREAN BBQ GRILL","793","6TH AVE",10001,"2122061224","Korean","A","793, 6TH AVE, New York, NY",NA,NA
"1396","PICK & PAY GYRO & PIZZA","30","LEXINGTON AVE",10010,"2123878200","Pizza",NA,"30, LEXINGTON AVE, New York, NY",-73.9846708,40.7400333
"1397","YALE CLUB","50","VANDERBILT AVENUE",10017,"2127162136","American","A","50, VANDERBILT AVENUE, New York, NY",NA,NA
"1398","AZALEA","224","WEST   51 STREET",10019,"2122620105","Italian","A","224, WEST   51 STREET, New York, NY",-73.9848896,40.7623132
"1399","THE GREEN TABLE(CHELSEA MARKET)","428","WEST   16 STREET",10011,"2127419174","American",NA,"428, WEST   16 STREET, New York, NY",NA,NA
"1400","INWOOD LOCAL WINE BAR & BEER GARDEN","4957","BROADWAY",10034,"2125448900","American",NA,"4957, BROADWAY, New York, NY",-73.9206772,40.8681401
"1401","MCQUAIDS PUBLIC HOUSE","589","11 AVENUE",10036,"2125826359","American",NA,"589, 11 AVENUE, New York, NY",-73.9976257,40.7623631
"1402","GRAMERCY  ALE HOUSE","272","3 AVENUE",10010,"6466783566","American",NA,"272, 3 AVENUE, New York, NY",-73.9842196,40.7379971
"1403","ALMOND","12","EAST   22 STREET",10010,"2122287557","French","A","12, EAST   22 STREET, New York, NY",NA,NA
"1404","LE BASKET","683","BROADWAY",10012,"2124209772","American",NA,"683, BROADWAY, New York, NY",-73.9948354,40.7280233
"1405","BUTTER RESTAURANT","70","W 45TH ST",10036,"2122532828","American",NA,"70, W 45TH ST, New York, NY",-73.9822224,40.7563375
"1406","DEL FRISCO'S GRILLE","60","ROCKEFELLER PLAZA",10020,"2127670371","American",NA,"60, ROCKEFELLER PLAZA, New York, NY",-73.9784512,40.7592554
"1407","POTBELLY SANDWICH WORKS","46","WEST   56 STREET",10019,"3129510600","Sandwiches/Salads/Mixed Buffet","A","46, WEST   56 STREET, New York, NY",-73.9768308,40.763102
"1408","PATISSERIE VANESSA","1590","PARK AVE",10029,"9176215233","Bakery","A","1590, PARK AVE, New York, NY",NA,NA
"1409","PETROSSIAN BOUTIQUE","911","7 AVENUE",10019,"2122452217","French",NA,"911, 7 AVENUE, New York, NY",-73.979321,40.765854
"1410","HERB N' KITCHEN MARKET","304","EAST   42 STREET",10017,"2122973577","American",NA,"304, EAST   42 STREET, New York, NY",NA,NA
"1411","AU BON PAIN","60","BROAD STREET",10004,"2126688873","Sandwiches/Salads/Mixed Buffet",NA,"60, BROAD STREET, New York, NY",-74.0117503,40.7051602
"1412","JAKE'S CAFE EMPLOYEES CAFETERIA AT JAVED CENTER","655","W 34TH ST",10001,"2122162400","Other","A","655, W 34TH ST, New York, NY",-74.0024691,40.7575505
"1413","BURGER KING/CINNABON","1313","BROADWAY",10001,"9089270130","American","A","1313, BROADWAY, New York, NY",-73.988152,40.750155
"1414","BLUE RUIN","538","9 AVENUE",10018,"9173467043","American","A","538, 9 AVENUE, New York, NY",-73.9934062,40.7568579
"1415","SWEETGREEN ASTOR PLACE","10","ASTOR PL",10003,"6468761468","American","A","10, ASTOR PL, New York, NY",NA,NA
"1416","BOWERY ROAD","132","4TH AVE",10003,"2124321324","American","A","132, 4TH AVE, New York, NY",-73.9901924,40.7333427
"1417","COME PRIMA","903","MADISON AVE",10021,"2125177700","Italian","A","903, MADISON AVE, New York, NY",-73.9648893,40.7720687
"1418","SUNRISE MART","12","EAST   41 STREET",10017,"6463809280","Japanese",NA,"12, EAST   41 STREET, New York, NY",-73.9807504,40.7523363
"1419","BROADWAY AU LAIT","307072","BROADWAY",10027,"2128658429","Vegetarian","A","307072, BROADWAY, New York, NY",-73.877837,40.87019
"1420","TACO Y BURRITO [EL ANCLA PUERTO PLATA]","142","NAGLE AVE",10040,"2125675557","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","A","142, NAGLE AVE, New York, NY",-73.9259145,40.8614192
"1421","BENTO SUSHI","173","BROADWAY",10010,"2124378744","Japanese","A","173, BROADWAY, New York, NY",-74.0101588,40.7100042
"1422","MADE","44","W 29TH ST",10001,"2122134429","American",NA,"44, W 29TH ST, New York, NY",-73.9896373,40.7462935
"1423","CAFE CORTADITO","210","EAST    3 STREET",10009,"2126143080","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","A","210, EAST    3 STREET, New York, NY",-73.9828336,40.7224106
"1424","HARLEM TAVERN","2153","8 AVENUE",10026,"2128664500","American","A","2153, 8 AVENUE, New York, NY",-73.955499,40.804693
"1425","SPICE","39","E 13TH ST",10003,"2129823758","Thai","A","39, E 13TH ST, New York, NY",-73.9918552,40.7345363
"1426","RAMEN-YA","133","W 3RD ST",10012,"2122548828","Japanese","B","133, W 3RD ST, New York, NY",-74.0007476,40.7309213
"1427","WA LUNG KITCHEN","557","GRAND STREET",10002,"2122543775","Chinese","A","557, GRAND STREET, New York, NY",-73.9801979,40.7137799
"1428","BEST WESTERN HOTEL HOSPITALITY HOUSE","145","EAST   49 STREET",10017,"2127538781","American","A","145, EAST   49 STREET, New York, NY",-73.9720294,40.7558161
"1429","WICKED WILLY'S","149","BLEECKER STREET",10012,"2122548592","American","A","149, BLEECKER STREET, New York, NY",-73.9992785,40.7283962
"1430","THE ASSEMBLAGE","114","E 25TH ST",10010,"6468499861","American","A","114, E 25TH ST, New York, NY",-73.9847017,40.7409415
"1431","YUBA","105","EAST    9 STREET",10003,"2127778188","Japanese","A","105, EAST    9 STREET, New York, NY",-73.9900505,40.7305239
"1432","ROXY DINER","694","8TH AVE",10036,"2125759700","American",NA,"694, 8TH AVE, New York, NY",-73.988609,40.758268
"1433","AL HORNO","110","PEARL ST",10005,"2124808500","Mexican","A","110, PEARL ST, New York, NY",-74.0088274,40.7046069
"1434","JIMMY","27","GRAND ST",10013,"2122019118","American","A","27, GRAND ST, New York, NY",-74.0047546,40.7227053
"1435","HAMILTON'S BAKERY","3570","BROADWAY",10031,"9293751145","American",NA,"3570, BROADWAY, New York, NY",-73.9493844,40.8273468
"1436","BLOSSOM DU JOUR","449","AMSTERDAM AVE",10024,"2127129822","Vegetarian",NA,"449, AMSTERDAM AVE, New York, NY",NA,NA
"1437","REBAR","223","WEST   19 STREET",10011,"6468632914","American","A","223, WEST   19 STREET, New York, NY",-73.9984521,40.7422168
"1438","LINCOLN PARK BAR & GRILL","867","9 AVENUE",10019,"2129742826","American",NA,"867, 9 AVENUE, New York, NY",-73.9865168,40.7675726
"1439","CORADO BREAD & PASTRY","1361","LEXINGTON AVE",10128,"2123488943","Caf̩/Coffee/Tea","A","1361, LEXINGTON AVE, New York, NY",-73.9534096,40.7822019
"1440","THE GLOBE BAR & GRILL","158","EAST   23 STREET",10010,"2124776161","American","A","158, EAST   23 STREET, New York, NY",-73.9837605,40.7388585
"1441","LA VELA DINING AND BAR","558","11TH AVE",10036,"2126952112","Italian",NA,"558, 11TH AVE, New York, NY",NA,NA
"1442","TAP-A-KEG","2731","BROADWAY",10025,"2127491734","American",NA,"2731, BROADWAY, New York, NY",-73.9684709,40.8003487
"1443","DALI MARKET","461","7TH AVE",10001,"2125645544","American",NA,"461, 7TH AVE, New York, NY",-73.9899499,40.751455
"1444","ZAITZEFF","72","NASSAU STREET",10038,"2125717272","American","A","72, NASSAU STREET, New York, NY",-74.008227,40.7095755
"1445","CAFETAL SOCIAL CLUB/ CHACHIS","285","MOTT STREET",10012,"2129661259","American","A","285, MOTT STREET, New York, NY",-73.9945497,40.7243276
"1446","SUBWAY","201","E 116TH ST",10029,"2129965864","Sandwiches/Salads/Mixed Buffet",NA,"201, E 116TH ST, New York, NY",-73.939776,40.7978564
"1447","FIVE GUYS FAMOUS BURGERS AND FRIES","56","W 14TH ST",10011,"2126752229","American","A","56, W 14TH ST, New York, NY",NA,NA
"1448","TALIA'S STEAKHOUSE","668","AMSTERDAM AVENUE",10025,"2125803770","Steak",NA,"668, AMSTERDAM AVENUE, New York, NY",-73.9721629,40.7919587
"1449","CAFE  BEE","239","W 72ND ST",10023,"2123622171","Caf̩/Coffee/Tea",NA,"239, W 72ND ST, New York, NY",-73.9829341,40.7794159
"1450","BUTTERFIELD CAFE","770","BROADWAY",10003,"2122064488","American","A","770, BROADWAY, New York, NY",NA,NA
"1451","TASZO COFFEE","5","EDWARD M MORGAN PLACE",10032,"2129341100","American",NA,"5, EDWARD M MORGAN PLACE, New York, NY",-73.9451682,40.8344614
"1452","GRUNAUER","1578","1ST AVE",10028,"2129881077","German",NA,"1578, 1ST AVE, New York, NY",NA,NA
"1453","FABIO RESTAURANT","214","E 52ND ST",10022,"2126885200","Italian","A","214, E 52ND ST, New York, NY",-73.9692055,40.756592
"1454","PENN MARKET","401","8TH AVE",10001,"2122441010","Delicatessen","A","401, 8TH AVE, New York, NY",-73.9956975,40.7497007
"1455","CHIPOTLE MEXICAN GRILL","71","SPRING STREET",10012,"6469375202","Mexican",NA,"71, SPRING STREET, New York, NY",-73.997427,40.722675
"1456","TOKYO BAY JAPANESE RESTAURANT","183","DUANE STREET",10013,"2124318666","Japanese",NA,"183, DUANE STREET, New York, NY",-74.0102046,40.7175486
"1457","EAT ON 8TH","601","WEST 26 STREET",10001,"2123528548","American",NA,"601, WEST 26 STREET, New York, NY",-74.0071517,40.7516529
"1458","GINO'S PIZZA","81","CATHERINE STREET",10038,"2129644533","Pizza","A","81, CATHERINE STREET, New York, NY",-73.9963431,40.710783
"1459","BOCCA","135","WEST   50 STREET",10020,"2125823000","American",NA,"135, WEST   50 STREET, New York, NY",-73.9822828,40.7609173
"1460","MCFADDEN'S","800","2ND AVE",10017,"2129861515","Irish","B","800, 2ND AVE, New York, NY",-73.9717539,40.7499108
"1461","TROPILYZ","1917","7TH AVE",10026,"2123160316","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","A","1917, 7TH AVE, New York, NY",-73.9523687,40.8029364
"1462","WASHINGTON SQUARE DINER","150","WEST 4 STREET",10012,"2125339306","American","A","150, WEST 4 STREET, New York, NY",NA,NA
"1463","LA CAVERNA","122124","RIVINGTON STREET",10002,"2124752126","American","A","122124, RIVINGTON STREET, New York, NY",-73.98709,40.719874
"1464","BLUE & GOLD BAR","79","E 7TH ST",10003,"2127771006","American","A","79, E 7TH ST, New York, NY",NA,NA
"1465","TREE","190","1 AVENUE",10009,"2123587171","French",NA,"190, 1 AVENUE, New York, NY",-73.9835309,40.7296373
"1466","PLAYA BETTY'S","320","AMSTERDAM AVE",10023,"2127120777","American",NA,"320, AMSTERDAM AVE, New York, NY",NA,NA
"1467","MARGHERITA","197","GRAND ST",10013,"2122268391","Italian","A","197, GRAND ST, New York, NY",-73.9969894,40.7190658
"1468","RESTAURANT LA SAVANE","239","W 116TH ST",10026,"6464904644","African","B","239, W 116TH ST, New York, NY",-73.9542362,40.8042241
"1469","OMEN JAPANESE CUISINE","113","THOMPSON STREET",10012,"2129258923","Japanese","A","113, THOMPSON STREET, New York, NY",-74.0019527,40.7259855
"1470","LOMBARDI'S","32","SPRING STREET",10012,"2129417994","Pizza/Italian","A","32, SPRING STREET, New York, NY",NA,NA
"1471","OOTOYA","141","W 41ST ST",10036,"2127040833","Japanese","A","141, W 41ST ST, New York, NY",-73.9859643,40.7549197
"1472","SUBROSA","22","LITTLE WEST 12TH ST",10014,"2127681962","Spanish","A","22, LITTLE WEST 12TH ST, New York, NY",NA,NA
"1473","PRET A MANGER","222","BROADWAY",10038,"6467073894","American","A","222, BROADWAY, New York, NY",-74.0081158,40.7107446
"1474","BAGEL TREE","245","E 124TH ST",10035,"6465598912","Bagels/Pretzels","B","245, E 124TH ST, New York, NY",-73.93445,40.8024746
"1475","BAR PITTI","268","6 AVENUE",10014,"2129823300","Italian",NA,"268, 6 AVENUE, New York, NY",-74.0021248,40.7290315
"1476","MIGHTY BOWL","817","2ND AVE",10017,"3476401888","Asian",NA,"817, 2ND AVE, New York, NY",NA,NA
"1477","CASA LA FEMME","140","CHARLES STREET",10014,"2125050005","Egyptian",NA,"140, CHARLES STREET, New York, NY",-74.0079322,40.7338895
"1478","SUSHI SEN-NIN","30","EAST   33 STREET",10016,"2128892208","Japanese","A","30, EAST   33 STREET, New York, NY",-73.982957,40.7466385
"1479","STARBUCKS","494","8 AVENUE",10001,"2129473860","Caf̩/Coffee/Tea","A","494, 8 AVENUE, New York, NY",NA,NA
"1480","ORGANIQUE","110","EAST   23 STREET",10010,"2126742229","American",NA,"110, EAST   23 STREET, New York, NY",-73.9859643,40.7397117
"1481","APOTHEKE/CHEMIST","9","DOYERS STREET",10013,"2124060400","American",NA,"9, DOYERS STREET, New York, NY",NA,NA
"1482","MISHIMA RESTAURANT","164","LEXINGTON AVENUE",10016,"2125329596","Japanese",NA,"164, LEXINGTON AVENUE, New York, NY",-73.981637,40.744164
"1483","JIMBO'S HAMBURGER PALACE","117","DYCKMAN ST",10040,"2129429769","American","A","117, DYCKMAN ST, New York, NY",-73.9248489,40.8624016
"1484","JUST SALAD","1306","1ST AVE",10021,"2122441111","Salads","A","1306, 1ST AVE, New York, NY",-73.9564959,40.7666603
"1485","V & T RESTAURANT","1024","AMSTERDAM AVENUE",10025,"2126668051","Italian",NA,"1024, AMSTERDAM AVENUE, New York, NY",-73.9639209,40.8033908
"1486","STARBUCKS","1117","LEXINGTON AVENUE",10075,"2125178476","Caf̩/Coffee/Tea",NA,"1117, LEXINGTON AVENUE, New York, NY",-73.9593562,40.7740372
"1487","ETCETERA ETCETERA","352","WEST   44 STREET",10036,"2123994141","Italian","A","352, WEST   44 STREET, New York, NY",-73.9911523,40.7592451
"1488","PERGOLA 36","36","W 28TH ST",10001,"2126794842","Mediterranean","Z","36, W 28TH ST, New York, NY",-73.9895914,40.7453991
"1489","CAFE LA CONTRADA","84","E 4TH ST",10003,"7188011055","Italian",NA,"84, E 4TH ST, New York, NY",-73.989775,40.7261989
"1490","1ST AVE GOURMET","1274","1ST AVE",10065,"2124728480","American","B","1274, 1ST AVE, New York, NY",-73.957324,40.765414
"1491","BAYARD BO KY RESTAURANT","78-80","BAYARD ST",10013,"2124062292","Chinese",NA,"78-80, BAYARD ST, New York, NY",-73.998629,40.7158191
"1492","THE DUPLEX","61","CHRISTOPHER STREET",10014,"2122555438","American","C","61, CHRISTOPHER STREET, New York, NY",-74.0024806,40.7337829
"1493","SUTTON CAFE RESTAURANT","1026","FIRST AVENUE",10022,"2124219184","American",NA,"1026, FIRST AVENUE, New York, NY",NA,NA
"1494","CHIPOTLE MEXICAN GRILL","55","EAST    8 STREET",10003,"2129823081","Tex-Mex",NA,"55, EAST    8 STREET, New York, NY",-73.9934292,40.7311439
"1495","SLAKE","251","W 30TH ST",10001,"2126958970","American",NA,"251, W 30TH ST, New York, NY",NA,NA
"1496","SUBWAY","852","10TH AVE",10019,"7324290891","Sandwiches/Salads/Mixed Buffet",NA,"852, 10TH AVE, New York, NY",-73.9887986,40.7684598
"1497","MAMASITA BAR","818","10 AVE",10019,"2123159444","Mexican","A","818, 10 AVE, New York, NY",-73.9894995,40.7673458
"1498","BRUNO'S CATERING & CAFE","282284","1 AVENUE",10009,"2122542156","American",NA,"282284, 1 AVENUE, New York, NY",-73.95924,40.763368
"1499","SOUTHGATE RESTAURANT/JW MARRIOT ESSEX HOUSE","160","CENTRAL PARK SOUTH",10019,"2124845100","American","A","160, CENTRAL PARK SOUTH, New York, NY",-73.9786411,40.7660165
"1500","SUBWAY","513","MAIN STREET",10044,"3472681222","Sandwiches","A","513, MAIN STREET, New York, NY",-73.9509141,40.7611092
"1501","CULTURE 307","307","W 38TH ST",10018,"6463538661","Caf̩/Coffee/Tea",NA,"307, W 38TH ST, New York, NY",-73.9922208,40.7551949
"1502","AUNTIE ANNE'S PRETZELS","2","PENN STATION",10001,"2127601749","Bagels/Pretzels","A","2, PENN STATION, New York, NY",NA,NA
"1503","BARBUTO","775","WASHINGTON STREET",10014,"2129249700","Italian",NA,"775, WASHINGTON STREET, New York, NY",-74.0078404,40.7377374
"1504","CHIPOTLE MEXICAN GRILL","269","AMSTERDAM AVENUE",10023,"2125806058","Mexican",NA,"269, AMSTERDAM AVENUE, New York, NY",NA,NA
"1505","LA RIPAILLE RESTAURANT","605","HUDSON STREET",10014,"2122554406","French",NA,"605, HUDSON STREET, New York, NY",-74.0059811,40.7372616
"1506","CHICK-FIL-A AT 46TH & 6TH IN-LINE","1180","AVENUE OF THE AMERICAS",10036,"2129441903","Sandwiches","A","1180, AVENUE OF THE AMERICAS, New York, NY",NA,NA
"1507","GOOD GOOD TASTE","13","MARKET ST",10002,"2129644888","Chinese",NA,"13, MARKET ST, New York, NY",NA,NA
"1508","SPEEDY ROMEO","63","CLINTON ST",10002,"2125296300","Pizza/Italian",NA,"63, CLINTON ST, New York, NY",-73.985142,40.719503
"1509","BOCADO CAFE","1297","LEXINGTON AVENUE",10128,"2122899004","American","A","1297, LEXINGTON AVENUE, New York, NY",NA,NA
"1510","BY CHLOE","60","W 22ND ST",10010,"6463584021","Vegetarian",NA,"60, W 22ND ST, New York, NY",-73.9929773,40.7418745
"1511","APNA MASALA INDIAN CUISINE","344","E 6TH ST",10003,"9172999478","Mexican",NA,"344, E 6TH ST, New York, NY",NA,NA
"1512","MARAMANA","5009","BROADWAY",10034,"2125672400","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","A","5009, BROADWAY, New York, NY",NA,NA
"1513","BLUE MOON CAFE","100","ORCHARD ST",10002,"2125339080","Caf̩/Coffee/Tea",NA,"100, ORCHARD ST, New York, NY",-73.989775,40.7185915
"1514","MAREA RESTAURANT","240","CENTRAL PARK SOUTH",10019,"2125825100","Italian",NA,"240, CENTRAL PARK SOUTH, New York, NY",-73.9811142,40.7674524
"1515","CAFE DU SOLEIL","245","WEST  104 STREET",10025,"2123165000","French","A","245, WEST  104 STREET, New York, NY",NA,NA
"1516","DONOSTIA","155","AVE B",10009,"6462569773","Tapas","A","155, AVE B, New York, NY",NA,NA
"1517","FREEMANS (FREEMANS ALLEY)","191","CHRYSTIE STREET",10002,"2124200012","American",NA,"191, CHRYSTIE STREET, New York, NY",-73.992272,40.721989
"1518","AJISEN RAMEN","136","WEST   28 STREET",10001,"6466380888","Japanese",NA,"136, WEST   28 STREET, New York, NY",-73.9922083,40.7466196
"1519","CREPE CAFE","1642","LEXINGTON AVE",10029,"3472662458","American",NA,"1642, LEXINGTON AVE, New York, NY",-73.947574,40.790915
"1520","WONG KEE RESTAURANT","102","MOTT ST",10013,"2122740696","Chinese",NA,"102, MOTT ST, New York, NY",NA,NA
"1521","DUNKIN' DONUTS, BASKIN ROBBINS","1392","LEXINGTON AVENUE",10128,"2127225767","Donuts","A","1392, LEXINGTON AVENUE, New York, NY",-73.9531809,40.7831672
"1522","BERGER'S ON THE GO","2","EAST 39 STREET",10016,"2127194173","Delicatessen","A","2, EAST 39 STREET, New York, NY",-73.9819344,40.7512565
"1523","STICKY'S FINGER JOINT #1","31","WEST    8 STREET",10011,"2127777131","Chicken",NA,"31, WEST    8 STREET, New York, NY",NA,NA
"1524","PEARL","18","CORNELIA STREET",10014,"2126918211","Seafood","A","18, CORNELIA STREET, New York, NY",-74.001914,40.7313345
"1525","CAPRI RESTAURANT","903","COLUMBUS AVE",10025,"2122221304","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",NA,"903, COLUMBUS AVE, New York, NY",-73.9635283,40.7980143
"1526","BEDFORD FALLS","206","EAST   67 STREET",10065,"2127178181","American",NA,"206, EAST   67 STREET, New York, NY",-73.9625475,40.7661414
"1527","DTUT","1744","2ND AVE",10128,"2124106449","American",NA,"1744, 2ND AVE, New York, NY",-73.9493227,40.7808104
"1528","67 ORANGE STREET","2082","FREDERICK DOUGLAS BOULEVARD",10026,"2126622030","American",NA,"2082, FREDERICK DOUGLAS BOULEVARD, New York, NY",-73.956624,40.8022118
"1529","RAZOR BAR","2254","5TH AVE",10037,"6467264933","American",NA,"2254, 5TH AVE, New York, NY",-73.93676,40.814399
"1530","MARISCO CENTRO","1490","SAINT NICHOLAS AVE",10033,"2127402000","Seafood","A","1490, SAINT NICHOLAS AVE, New York, NY",-73.9319127,40.851428
"1531","QUALITY MEATS","57","WEST   58 STREET",10019,"2123717777","Steak","A","57, WEST   58 STREET, New York, NY",NA,NA
"1532","AIZUMI SUSHI","283","BROOME ST",10002,"2123880899","Japanese","Not Yet Graded","283, BROOME ST, New York, NY",-73.9915196,40.718337
"1533","UCHU","217","ELDRIDGE ST",10002,"2122037634","Japanese","A","217, ELDRIDGE ST, New York, NY",NA,NA
"1534","VIAND COFFEE SHOP","673","MADISON AVENUE",10065,"2127516622","Greek","A","673, MADISON AVENUE, New York, NY",-73.970189,40.7648494
"1535","BLACK IRON BURGER","245","W 38TH ST",10018,"6464763116","Hamburgers","A","245, W 38TH ST, New York, NY",-73.9902915,40.7543277
"1536","GOOD STUFF DINER","109","WEST   14 STREET",10011,"2129292555","American","A","109, WEST   14 STREET, New York, NY",-73.9972715,40.7378619
"1537","ROYALTON HOTEL","44","W 44TH ST",10036,"2127685100","American",NA,"44, W 44TH ST, New York, NY",-73.9823094,40.7555978
"1538","MUNCHERY","701","1ST AVE",10017,"9176135791","American","A","701, 1ST AVE, New York, NY",NA,NA
"1539","MARCO POLO PIZZA & DELI","1289","MADISON AVENUE",10128,"2124273777","Delicatessen","A","1289, MADISON AVENUE, New York, NY",-73.9559697,40.7843885
"1540","CANTINA TAQUERIA & TEQUILA BAR","329","LENOX AVE",10027,"2126347665","Mexican",NA,"329, LENOX AVE, New York, NY",-73.9449734,40.80892
"1541","ONE 7 KARAOKE","29","WEST   17 STREET",10011,"2126753527","American",NA,"29, WEST   17 STREET, New York, NY",-73.9937234,40.7386893
"1542","MITZ (MELLOW YELLOW COFFEE & VIBES)","1729","1ST AVE",10128,"2127227220","Jewish/Kosher",NA,"1729, 1ST AVE, New York, NY",-73.9479323,40.7792645
"1543","NEW ICHIE JAPANESE RESTAURANT","1215","LEXINGTON AVE",10028,"6466827342","Japanese",NA,"1215, LEXINGTON AVE, New York, NY",-73.957166,40.7770191
"1544",NA,"328","E 6TH ST",10003,"2126748881","Other",NA,"328, E 6TH ST, New York, NY",-73.9872499,40.7266901
"1545","GALLOW GREEN","530542","WEST   27 STREET",10001,"2125641662","French",NA,"530542, WEST   27 STREET, New York, NY",NA,NA
"1546","SEBASTIAN - CHLOE 81/ FARM HOUSE","81","LUDLOW STREET",10002,"2126779383","French",NA,"81, LUDLOW STREET, New York, NY",NA,NA
"1547","CONES","272","BLEECKER STREET",10014,"2124141795","Ice Cream, Gelato, Yogurt, Ices",NA,"272, BLEECKER STREET, New York, NY",-74.0033414,40.73154
"1548","GRAN MORSI","22","WARREN ST",10007,"2125772725","Italian","A","22, WARREN ST, New York, NY",NA,NA
"1549","KOBRICK COFFEE CO.","24","9 AVENUE",10014,"2122555588","Bottled beverages, including water, sodas, juices, etc.","A","24, 9 AVENUE, New York, NY",NA,NA
"1550","THE THIRSTY SCHOLAR","155","2 AVENUE",10003,"2127776514","American",NA,"155, 2 AVENUE, New York, NY",NA,NA
"1551","PIG HEAVEN","1420","3RD AVE",10028,"2127444333","Chinese",NA,"1420, 3RD AVE, New York, NY",-73.9568392,40.7754503
