"","CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINE.DESCRIPTION","INSPECTION.DATE","ACTION","VIOLATION.CODE","VIOLATION.DESCRIPTION","CRITICAL.FLAG","SCORE","GRADE","GRADE.DATE","RECORD.DATE","INSPECTION.TYPE"
"3879",50004298,"NUCHAS","MANHATTAN","97","W 32ND ST","10001","2129120035","Spanish",42979,"Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical",12,"A",42979,43138,"Cycle Inspection / Re-inspection"
"3880",50059954,"CAFFE BENE","MANHATTAN","378","CANAL ST","10013","9179637779","CafÃ©/Coffee/Tea",42907,"Violations were cited in the following area(s).","16E","Caloric content range (minimum to maximum) not posted on menus and or menu boards for each flavor, variety and size of each menu item that is offered for sale in different flavors, varieties and sizes.","Not Critical",NA,NA,NA,43138,"Calorie Posting / Initial Inspection"
"3881",40759586,"CAFE BUON GUSTO","MANHATTAN","236","EAST   77 STREET","10075","2125356884","Italian",42341,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",18,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"3882",40380559,"SUPERNOVA-NOVOTEL HOTEL","MANHATTAN","226","WEST 52 ND STREET","10019","2123150100","American",41949,"Violations were cited in the following area(s).","15L","Smoke free workplace smoking policy inadequate, not posted, not provided to employees.","Not Critical",NA,NA,NA,43138,"Smoke-Free Air Act / Re-inspection"
"3883",41600621,"STUMPTOWN COFFEE","MANHATTAN","18","WEST   29 STREET","10001","7189025484","CafÃ©/Coffee/Tea",42830,"Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical",12,"A",42830,43138,"Cycle Inspection / Initial Inspection"
"3884",41046187,"GOLDEN KRUST CARIBBEAN BAKERY & GRILL","MANHATTAN","456","LENOX AVENUE","10037","2122835933","Caribbean",42837,"Violations were cited in the following area(s).","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.","Critical",12,"A",42837,43138,"Cycle Inspection / Initial Inspection"
"3885",50071707,"KITH RETAIL","MANHATTAN","337","LAFAYETTE ST","10012","6467083456","Juice, Smoothies, Fruit Salads",43118,"Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.","Critical",135,NA,NA,43138,"Pre-permit (Operational) / Initial Inspection"
"3886",41586413,"CORNERSTONE CAFE","MANHATTAN","17","AVENUE B","10009","2122281260","American",42271,"Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",42,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"3887",50045617,"AMADA","MANHATTAN","4","WORLD FINANCIAL CTR","10281","2125428947","Tapas",43038,"Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility_x001A_s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",8,"A",43038,43138,"Cycle Inspection / Re-inspection"
"3888",50038669,"ASIA EXPRESS","MANHATTAN","493","2ND AVE","10016","2126869888","Chinese",42745,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,"A",42745,43138,"Cycle Inspection / Re-inspection"
"3889",41215164,"JIMMY'S ON 7TH STREET","MANHATTAN","43","EAST    7 STREET","10003","2129823006","American",42374,"Violations were cited in the following area(s).","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","Not Critical",12,"A",42374,43138,"Cycle Inspection / Initial Inspection"
"3890",41543275,"KARAOKE NEMO / TRECE","MANHATTAN","54","EAST   13 STREET","10003","2124775577","Mexican",43130,"Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",19,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"3891",50068374,"CHELSEA CINEMAS","MANHATTAN","260","W 23RD ST","10011","2126915519","Hotdogs/Pretzels",43083,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",19,"Not Yet Graded",NA,43138,"Pre-permit (Operational) / Initial Inspection"
"3892",50011835,"TUOME","MANHATTAN","536","E 5TH ST","10009","6468337811","Asian",41940,"Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",23,NA,NA,43138,"Pre-permit (Operational) / Initial Inspection"
"3893",50069204,"CHARM'S","MANHATTAN","200","8TH AVE","10011","6465908994","Thai",43013,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,"A",43013,43138,"Pre-permit (Operational) / Re-inspection"
"3894",50064143,"LITTLE COLLINS","MANHATTAN","767","5TH AVE","10153","6466428193","Other",1,NA,NA,NA,"Not Applicable",NA,NA,NA,43138,NA
"3895",50052738,"ROSE&BASIL","MANHATTAN","104","E 7TH ST","10009","9175309018","Vegetarian",42573,"Violations were cited in the following area(s).","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.","Not Critical",30,NA,NA,43138,"Pre-permit (Non-operational) / Initial Inspection"
"3896",41294647,"PIO PIO","MANHATTAN","210","EAST   34 STREET","10016","2124810034","Peruvian",42845,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",11,"A",42845,43138,"Cycle Inspection / Initial Inspection"
"3897",41433964,"WILD GINGER VEGETARIAN KITCHEN","MANHATTAN","380","BROOME STREET","10013","2129661883","Vegetarian",42641,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,"A",42641,43138,"Cycle Inspection / Re-inspection"
"3898",50000437,"DUNKIN' DONUTS","MANHATTAN","712","THIRD AVE","10017","2126610700","Donuts",41789,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",11,"A",41789,43138,"Cycle Inspection / Initial Inspection"
"3899",40698788,"JUICE GENERATION","MANHATTAN","644","NINTH AVENUE","10036","2125415600","Juice, Smoothies, Fruit Salads",43067,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",5,"A",43067,43138,"Cycle Inspection / Initial Inspection"
"3900",50001170,"THE GREEK","MANHATTAN","458","GREENWICH STREET","10013","6464763941","Greek",42338,"Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility_x001A_s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",13,"A",42338,43138,"Cycle Inspection / Initial Inspection"
"3901",40604004,"WRAP N RUN GRILL","MANHATTAN","1125","LEXINGTON AVENUE","10075","2127441588","American",42452,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,"A",42452,43138,"Cycle Inspection / Initial Inspection"
"3902",41674573,"5BAR KARAOKE","MANHATTAN","38","WEST   32 STREET","10001","2125946644","Korean",42320,"No violations were recorded at the time of this inspection.",NA,NA,"Not Applicable",NA,NA,NA,43138,"Trans Fat / Re-inspection"
"3903",41638085,"AMUSED","MANHATTAN","142","WEST   83 STREET","10024","2127993888","American",42535,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",7,"A",42535,43138,"Cycle Inspection / Initial Inspection"
"3904",41464597,"TASTE OF CAFE (POTAMKIN)","MANHATTAN","2495","2 AVENUE","10035","3479220626","American",42940,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,"A",42940,43138,"Cycle Inspection / Initial Inspection"
"3905",50049027,"PINKBERRY","MANHATTAN","7","W 32ND ST","10001","2126959631","Ice Cream, Gelato, Yogurt, Ices",42557,"Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",14,NA,NA,43138,"Pre-permit (Operational) / Initial Inspection"
"3906",41319881,"PULSE/CIRCLE/ARENA","MANHATTAN","135","WEST 41 STREET","10036","2122780988","American",42963,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",47,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"3907",50002277,"VIEN NYC","MANHATTAN","220","VARICK STREET","10014","2122558808","Asian",42641,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,"A",42641,43138,"Cycle Inspection / Initial Inspection"
"3908",40810174,"BRASSERIE ATHENEE","MANHATTAN","300","WEST   46 STREET","10036","2123991100","Mediterranean",42975,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,"A",42975,43138,"Cycle Inspection / Initial Inspection"
"3909",50070654,"JOE & THE JUICE 801 LEXINGTON","MANHATTAN","801","LEXINGTON AVE","10065","9179240079","Juice, Smoothies, Fruit Salads",43080,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",21,"Not Yet Graded",NA,43138,"Pre-permit (Operational) / Initial Inspection"
"3910",50003743,"BURKE & WILLS/MANHATTAN CRICKET CLUB","MANHATTAN","226","W 79TH ST","10024","6468239251","Australian",42464,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",25,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"3911",41532039,"AUNTIE ANNE'S PRETZELS","MANHATTAN","664","8 AVENUE","10036","2127641542","Hotdogs/Pretzels",42927,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",12,"A",42927,43138,"Cycle Inspection / Initial Inspection"
"3912",41584113,"LCL BAR AND KITCHEN","MANHATTAN","212","EAST   42 STREET","10017","2124904399","American",42436,"Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",13,"A",42436,43138,"Cycle Inspection / Re-inspection"
"3913",41051273,"PRET A MANGER","MANHATTAN","1350","6 AVENUE","10019","2123076100","Sandwiches",42262,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,"A",42262,43138,"Cycle Inspection / Initial Inspection"
"3914",41424929,"AAHELI","MANHATTAN","826","9 AVENUE","10019","2129699010","Indian",42212,"Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",12,"A",42212,43138,"Cycle Inspection / Re-inspection"
"3915",41504624,"THE ORIGINAL SOUPMAN","MANHATTAN","259","WEST   55 STREET","10019","2129560900","Soups",42471,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",10,"A",42471,43138,"Cycle Inspection / Initial Inspection"
"3916",50056158,"CHIMI CHURRI GRILL","MANHATTAN","133","E 61ST ST","10065","6467070801","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",42726,"Violations were cited in the following area(s).","03B","Shellfish not from approved source, improperly tagged/labeled; tags not retained for 90 days.","Critical",21,NA,NA,43138,"Pre-permit (Operational) / Initial Inspection"
"3917",50017240,"124 COFFEE SHOP","MANHATTAN","53","E 124TH ST","10035","2124108494","American",42019,"Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical",17,"B",42019,43138,"Pre-permit (Operational) / Re-inspection"
"3918",50056495,"MARKLE RESIDENCE","MANHATTAN","123","W 13TH ST","10011","2122172332","American",43110,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",11,"A",43110,43138,"Cycle Inspection / Initial Inspection"
"3919",41321617,"JULIANO'S ESPRESSO BAR","MANHATTAN","1378","LEXINGTON AVENUE","10128","2129874540","CafÃ©/Coffee/Tea",42725,"Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical",12,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"3920",41702880,"RAKU IT'S JAPANESE II","MANHATTAN","57","WEST   76 STREET","10023","2128731220","Japanese",42136,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",24,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"3921",41424474,"JOHN JAY DINING HALL","MANHATTAN","515","WEST  114 STREET","10027","2128547162","American",41908,"Violations were cited in the following area(s).","04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.","Critical",28,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"3922",50010039,"HUNAN CHEN'S KITCHEN","MANHATTAN","1003","COLUMBUS AVE","10025","2122221118","Chinese",41953,"Establishment re-closed by DOHMH","04M","Live roaches present in facility's food and/or non-food areas.","Critical",14,NA,NA,43138,"Cycle Inspection / Reopening Inspection"
"3923",41279957,"LELABAR","MANHATTAN","422","HUDSON STREET","10014","2122060594","American",42860,"Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",26,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"3924",41654929,"SFILATINO ITALIAN GOURMET","MANHATTAN","342","WEST   57 STREET","10019","6464769856","Italian",42940,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",5,"A",42940,43138,"Cycle Inspection / Initial Inspection"
"3925",41674832,"CHARLEY'S GRILLED SUBS","MANHATTAN","401","7TH AVE","10001","2125947817","American",42643,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,"A",42643,43138,"Cycle Inspection / Initial Inspection"
"3926",41638553,"BRICIOLA","MANHATTAN","370","WEST   51 STREET","10019","6466785763","Italian",43005,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",10,"A",43005,43138,"Cycle Inspection / Initial Inspection"
"3927",41566710,"BLUE GINGER","MANHATTAN","106","8 AVENUE","10011","2123520911","Japanese",42059,"Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical",21,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"3928",41056433,"DUNKIN' DONUTS/ BASKIN ROBBINS","MANHATTAN","1760","2 AVENUE","10128","2128763312","Donuts",42016,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",9,"A",42016,43138,"Cycle Inspection / Re-inspection"
"3929",50047698,"DUETSCHE BANK - CONFERENCE ROOM","MANHATTAN","60","WALL ST","10005","2122508963","CafÃ©/Coffee/Tea",43070,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,"A",43070,43138,"Cycle Inspection / Initial Inspection"
"3930",50035707,"DUNKIN' DONUTS","MANHATTAN","900","1ST AVE","10022","6463805809","Donuts",42499,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,"A",42499,43138,"Cycle Inspection / Initial Inspection"
"3931",50063851,"AUTHENTIC NYC STREET FOOD","MANHATTAN","610","W 46TH ST","10036","8885075228","Hotdogs/Pretzels",43025,"Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",22,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"3932",41707087,"TRIONA'S BAR RESTAURANT","MANHATTAN","192","3 AVENUE","10003","6464484671","Irish",42496,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",12,"A",42496,43138,"Cycle Inspection / Initial Inspection"
"3933",40928483,"RICE TO RICHES","MANHATTAN","37","SPRING STREET","10012","2122740008","American",41799,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",12,"A",41799,43138,"Cycle Inspection / Initial Inspection"
"3934",40577928,"SUSHI OF GARI","MANHATTAN","402","EAST   78 STREET","10075","2125175340","Japanese",42493,"Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",11,"A",42493,43138,"Cycle Inspection / Initial Inspection"
"3935",50037324,"HAMPTON INN TIMES SQUARE","MANHATTAN","220","W 41ST ST","10036","2122211188","American",43091,"Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",8,"A",43091,43138,"Cycle Inspection / Initial Inspection"
"3936",50065446,"POKE BAR","MANHATTAN","1333","BROADWAY","10018","2122444320","Hawaiian",43087,"Violations were cited in the following area(s).","10E","Accurate thermometer not provided in refrigerated or hot holding equipment.","Not Critical",58,"C",43087,43138,"Pre-permit (Operational) / Re-inspection"
"3937",50007006,"BOBBY VAN'S STEAKHOUSE C.P.S","MANHATTAN","40","CENTRAL PARK S","10019","2123694000","Italian",42706,"Violations were cited in the following area(s).","20D","Choking first aid_x001A_ poster not posted. _x001A_Alcohol and pregnancy_x001A_ warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted. Inspection report sign not posted.","Not Critical",NA,NA,NA,43138,"Administrative Miscellaneous / Re-inspection"
"3938",41219537,"LE PAIN QUOTIDIEN","MANHATTAN","124","7 AVENUE","10011","2122552777","Soups & Sandwiches",42569,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",7,"A",42569,43138,"Cycle Inspection / Initial Inspection"
"3939",40379355,"MCALEER'S PUB","MANHATTAN","425","AMSTERDAM AVENUE","10024","2123627867","Irish",41705,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",19,"B",41705,43138,"Cycle Inspection / Re-inspection"
"3940",41387224,"B AND B RESTAURANT","MANHATTAN","165","WEST   26 STREET","10001","6464298174","African",42002,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",17,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"3941",41306250,"SIDO GOURMET","MANHATTAN","849","2 AVENUE","10017","2122863639","Mediterranean",42677,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",16,"B",42677,43138,"Cycle Inspection / Re-inspection"
"3942",40827435,"STARBUCKS","MANHATTAN","1631","1 AVENUE","10028","2127376534","CafÃ©/Coffee/Tea",42793,"Violations were cited in the following area(s).","04A","Food Protection Certificate not held by supervisor of food operations.","Critical",15,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"3943",41249363,"ROASTING PLANT","MANHATTAN","81","ORCHARD STREET","10002","2127757755","CafÃ©/Coffee/Tea",42674,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",17,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"3944",50071394,"HOTEL TORTUGA","MANHATTAN","246","E 14TH ST","10003","2122281884","Spanish",43117,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",30,"Not Yet Graded",NA,43138,"Pre-permit (Operational) / Initial Inspection"
"3945",50002843,"CHERI","MANHATTAN","231","MALCOLM X BLVD","10027","2126621266","French",42270,"Violations were cited in the following area(s).","15L","Smoke free workplace smoking policy inadequate, not posted, not provided to employees.","Not Critical",NA,NA,NA,43138,"Smoke-Free Air Act / Initial Inspection"
"3946",41209902,"STARBUCKS","MANHATTAN","4","WEST   21 STREET","10010","6463366583","CafÃ©/Coffee/Tea",43077,"Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility_x001A_s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",10,"A",43077,43138,"Cycle Inspection / Re-inspection"
"3947",50047583,"ROCK AND REILLYS LOBBY BAR","MANHATTAN","218","W 35TH ST","10001","6468502850","American",42493,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",5,"A",42493,43138,"Pre-permit (Operational) / Initial Inspection"
"3948",41547897,"EDO SUSHI TERIYAKI NOODLE","MANHATTAN","9","EAST   17 STREET","10003","2129892938","Japanese",42782,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",2,"A",42782,43138,"Cycle Inspection / Initial Inspection"
"3949",50001737,"BRAAI","MANHATTAN","329","WEST 51 STREET","10019","2123153315","African",43005,"Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical",14,"B",43005,43138,"Cycle Inspection / Re-inspection"
"3950",50035272,"JP STREET","MANHATTAN","52","E 8TH ST","10003","2123889881","Japanese",42961,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",10,"A",42961,43138,"Cycle Inspection / Initial Inspection"
"3951",41009410,"M1-5","MANHATTAN","52","WALKER STREET","10013","2129651701","American",42814,"Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.","03A","Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.","Critical",52,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"3952",50001309,"UP TOWN SWIRL","MANHATTAN","732","7TH AVENUE","10019","6466926614","Ice Cream, Gelato, Yogurt, Ices",41876,"Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",18,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"3953",41474931,"MCDONALD'S","MANHATTAN","12","PENN STATION","10001","2127366157","American",42305,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",11,"A",42305,43138,"Cycle Inspection / Initial Inspection"
"3954",40703670,"GHANDI CAFE","MANHATTAN","283","BLEECKER STREET","10014","2126451456","Indian",41851,"Violations were cited in the following area(s).","02H","Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.","Critical",9,"A",41851,43138,"Cycle Inspection / Initial Inspection"
"3955",41676306,"NOCHE DE MARGARITAS RESTAURANT","MANHATTAN","1726","2 AVENUE","10128","2122895195","Mexican",42145,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",7,"A",42145,43138,"Cycle Inspection / Initial Inspection"
"3956",41674459,"LA MARINA","MANHATTAN","348","DYCKMAN STREET","10034","2125676300","American",42125,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",10,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"3957",40605180,"NOCELLO","MANHATTAN","257","WEST   55 STREET","10019","2127130224","Italian",42942,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",21,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"3958",41299757,"1 OAK","MANHATTAN","453","WEST   17 STREET","10011","2122421111","American",42531,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",25,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"3959",50005543,"LAS PALMAS RESTAURANT","MANHATTAN","3891","BROADWAY","10032","9175210349","Mexican",42551,"Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",26,"B",42551,43138,"Cycle Inspection / Re-inspection"
"3960",41561516,"OBAO","MANHATTAN","647","9 AVENUE","10036","2122458880","Asian",42788,"Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",17,"B",42788,43138,"Cycle Inspection / Re-inspection"
